2019/06/25 15:02:47 [WinError 10054] 远程主机强迫关闭了一个现有的连接。
2019/06/25 15:02:54 发送消息:{'sub': 'market.btcusdt.kline.1min', 'id': 'BTC'}
2019/06/25 15:02:55 收到订阅状态消息：{'id': 'BTC', 'status': 'ok', 'subbed': 'market.btcusdt.kline.1min', 'ts': 1561446175191}
2019/06/25 15:02:55 ts:1561446174889 id:1561446120 amount:22.48142684845772 open:11318.78 close:11334.53 low:11316.6 high:11334.53 count:413 vol:254583.68444178288
2019/06/25 15:02:55 ts:1561446175491 id:1561446120 amount:22.48983831324717 open:11318.78 close:11334.53 low:11316.6 high:11334.53 count:414 vol:254679.0244417829
2019/06/25 15:02:55 ts:1561446175569 id:1561446120 amount:22.4899265393035 open:11318.78 close:11334.52 low:11316.6 high:11334.53 count:415 vol:254680.0244417829
2019/06/25 15:02:55 ts:1561446175847 id:1561446120 amount:22.5267265393035 open:11318.78 close:11334.53 low:11316.6 high:11334.53 count:417 vol:255097.13514466517
2019/06/25 15:02:56 ts:1561446175956 id:1561446120 amount:23.219105471126678 open:11318.78 close:11334.53 low:11316.6 high:11334.53 count:418 vol:262944.9249187829
2019/06/25 15:02:56 ts:1561446175985 id:1561446120 amount:23.219193693446925 open:11318.78 close:11335.0 low:11316.6 high:11335.0 count:419 vol:262945.9249187829
2019/06/25 15:02:56 ts:1561446176432 id:1561446120 amount:23.219281909023643 open:11318.78 close:11336.0 low:11316.6 high:11336.0 count:421 vol:262946.9249187829
2019/06/25 15:02:56 ts:1561446176872 id:1561446120 amount:23.386481909023644 open:11318.78 close:11334.31 low:11316.6 high:11336.0 count:422 vol:264842.0215507829
2019/06/25 15:02:57 ts:1561446176975 id:1561446120 amount:23.386570119455293 open:11318.78 close:11336.72 low:11316.6 high:11336.72 count:424 vol:264843.0215507829
2019/06/25 15:02:57 ts:1561446177420 id:1561446120 amount:23.386658328390507 open:11318.78 close:11336.72 low:11316.6 high:11336.72 count:425 vol:264844.0215507829
